,male,female,non-binary
hiv/aids,9252,7495,3005
covid-19,691896,417052,12574
takotsubo cardiomyopathy,131,115,0
tuberculoses,40129,19960,170
endocarditis,192,535,0
syphilis,2964,1936,245
hypertension,19607,22163,69
sarcoidoses,15,6,0
hepatitis b,1585,1288,17
ulcerative colitis,261,734,4
crohnâ€™s disease,167,188,3
chagas disease,165,32,0
3545003.0,159,93,0
3716002.0,49,48,0
3723001.0,3791,3991,40
4308002.0,0,0,0
6142004.0,78687,27854,278
6471006.0,75371,54570,2809
7973008.0,101,37,0
8357008.0,1,1,0
menstruation,1191,3300,14
9829001.0,0,0,0
10743008.0,19076,27759,29
11381005.0,894,1086,3
11654001.0,0,0,0
13746004.0,3888,3982,71
34486009.0,82,54,2
40930008.0,725,486,5
14669001.0,246,249,0
15188001.0,1359,2703,32
18193002.0,10,10,0
18718003.0,185,135,0
21134002.0,60540,96467,8296
396275006.0,3997,2766,0
22298006.0,31628,58609,154
23502006.0,348,375,0
23919004.0,0,0,0
24693007.0,372,335,6
24700007.0,48041,406605,201
25458004.0,11,2,0
26889001.0,1,1,0
26929004.0,36418,29010,63
29384001.0,585,403,0
30811009.0,0,0,0
31384009.0,25,26,0
32398004.0,2266,2004,37
32798002.0,7600,9706,56
32914008.0,75,45,0
34840004.0,261,146,0
35489007.0,185563,155431,2241
36971009.0,20,14,0
37340000.0,55,66,1
39400004.0,46,17,0
39621005.0,227,201,0
40733004.0,799414,259402,4092
91302008,12998,13487,148
161712005.0,10275,13539,74
43116000.0,652,679,2
44054006.0,5410,4556,4
46635009.0,252,345,4
49049000.0,20424,20588,258
49601007.0,36790,28173,256
50829006.0,26530,22990,332
52448006.0,71460,63676,161
52702003.0,41,57,0
53741008.0,3811,2176,13
54150009.0,145,160,1
56317004.0,118,176,0
56925008.0,645,581,0
57182000.0,177,188,0
57406009.0,52,45,0
59927004.0,1886,1975,8
60862001.0,7077,13908,9
61462000.0,23156,26487,143
61599003.0,4,2,0
62315008.0,3800,4223,38
63102001.0,7850,7390,36
67362008.0,0,0,0
68566005.0,1508,1094,2
69322001.0,1696,1282,15
69896004.0,41410,34971,121
73211009.0,104751,100713,1182
73442001.0,0,0,0
74732009.0,70418,118614,4912
75694006.0,174,122,2
76376003.0,0,46,0
86044005.0,31639,2890,72
709044004.0,2833,2885,135
129103003.0,244,1071,37
195967001.0,9925,14375,53
200936003.0,18423,10786,61
233604007.0,27474,18761,99
698247007.0,21094,21420,182
