,0
hiv/aids,2800
covid-19,181604
takotsubo cardiomyopathy,90
tuberculoses,28446
endocarditis,1076
syphilis,4776
hypertension,10243
sarcoidoses,64
hepatitis b,2502
ulcerative colitis,1020
crohnâ€™s disease,120
chagas disease,537
3545003.0,94
3716002.0,388
3723001.0,8336
4308002.0,1
6142004.0,12168
6471006.0,114644
7973008.0,15
8357008.0,49
menstruation,2692
9829001.0,111
10743008.0,2065
11381005.0,2577
11654001.0,58
13746004.0,4738
34486009.0,521
40930008.0,275
14669001.0,168
15188001.0,3770
18193002.0,194
18718003.0,520
21134002.0,41200
396275006.0,1689
22298006.0,42190
23502006.0,1358
23919004.0,65
24693007.0,754
24700007.0,6109
25458004.0,28
26889001.0,34
26929004.0,14298
29384001.0,628
30811009.0,5
31384009.0,146
32398004.0,2152
32798002.0,8258
32914008.0,261
34840004.0,1097
35489007.0,124448
36971009.0,93
37340000.0,823
39400004.0,303
39621005.0,924
40733004.0,55119
91302008,4117
161712005.0,3172
43116000.0,1214
44054006.0,2633
46635009.0,182
49049000.0,17907
49601007.0,14032
50829006.0,241
52448006.0,25483
52702003.0,805
53741008.0,1200
54150009.0,260
56317004.0,1168
56925008.0,1883
57182000.0,1579
57406009.0,385
59927004.0,4726
60862001.0,1345
61462000.0,16686
61599003.0,205
62315008.0,8046
63102001.0,445
67362008.0,0
68566005.0,464
69322001.0,4690
69896004.0,3330
73211009.0,27211
73442001.0,9
74732009.0,56206
75694006.0,1510
76376003.0,157
86044005.0,1657
709044004.0,1124
129103003.0,1250
195967001.0,9521
200936003.0,6061
233604007.0,22713
698247007.0,2886
