,index,male,female,non-binary,timestamp
282,hiv/aids,0,0,0,2021-09-07T02:37:32
283,covid-19,0,0,0,2021-09-07T02:37:32
284,takotsubo cardiomyopathy,0,0,0,2021-09-07T02:37:32
285,tuberculoses,0,0,0,2021-09-07T02:37:32
286,endocarditis,0,0,0,2021-09-07T02:37:32
287,syphilis,0,0,0,2021-09-07T02:37:32
288,test,0,0,0,2021-09-07T02:37:32
289,hypertension,0,0,0,2021-09-07T02:37:32
290,sarcoidoses,0,0,0,2021-09-07T02:37:32
291,hepatitis b,0,0,0,2021-09-07T02:37:32
292,ulcerative colitis,0,0,0,2021-09-07T02:37:32
293,crohn’s disease,0,0,0,2021-09-07T02:37:32
294,chagas disease,0,0,0,2021-09-07T02:37:32
295,3545003.0,0,0,0,2021-09-07T02:37:32
296,3716002.0,0,0,0,2021-09-07T02:37:32
297,3723001.0,0,0,0,2021-09-07T02:37:32
298,4308002.0,0,0,0,2021-09-07T02:37:32
299,6142004.0,0,0,0,2021-09-07T02:37:32
300,6471006.0,0,0,0,2021-09-07T02:37:32
301,7973008.0,0,0,0,2021-09-07T02:37:32
302,8357008.0,0,0,0,2021-09-07T02:37:32
303,menstruation,0,0,0,2021-09-07T02:37:32
304,9829001.0,0,0,0,2021-09-07T02:37:32
305,10743008.0,0,0,0,2021-09-07T02:37:32
306,11381005.0,0,0,0,2021-09-07T02:37:32
307,11654001.0,0,0,0,2021-09-07T02:37:32
308,13746004.0,0,0,0,2021-09-07T02:37:32
309,34486009.0,0,0,0,2021-09-07T02:37:32
310,40930008.0,0,0,0,2021-09-07T02:37:32
311,14669001.0,0,0,0,2021-09-07T02:37:32
312,15188001.0,0,0,0,2021-09-07T02:37:32
313,18193002.0,0,0,0,2021-09-07T02:37:32
314,18718003.0,0,0,0,2021-09-07T02:37:32
315,21134002.0,0,0,0,2021-09-07T02:37:32
316,396275006.0,0,0,0,2021-09-07T02:37:32
317,22298006.0,0,0,0,2021-09-07T02:37:32
318,23502006.0,0,0,0,2021-09-07T02:37:32
319,23919004.0,0,0,0,2021-09-07T02:37:32
320,24693007.0,0,0,0,2021-09-07T02:37:32
321,24700007.0,0,0,0,2021-09-07T02:37:32
322,25458004.0,0,0,0,2021-09-07T02:37:32
323,26889001.0,0,0,0,2021-09-07T02:37:32
324,26929004.0,0,0,0,2021-09-07T02:37:32
325,29384001.0,0,0,0,2021-09-07T02:37:32
326,30811009.0,0,0,0,2021-09-07T02:37:32
327,31384009.0,0,0,0,2021-09-07T02:37:32
328,32398004.0,0,0,0,2021-09-07T02:37:32
329,32798002.0,0,0,0,2021-09-07T02:37:32
330,32914008.0,0,0,0,2021-09-07T02:37:32
331,34840004.0,0,0,0,2021-09-07T02:37:32
332,35489007.0,0,0,0,2021-09-07T02:37:32
333,36971009.0,0,0,0,2021-09-07T02:37:32
334,37340000.0,0,0,0,2021-09-07T02:37:32
335,39400004.0,0,0,0,2021-09-07T02:37:32
336,39621005.0,0,0,0,2021-09-07T02:37:32
337,40733004.0,0,0,0,2021-09-07T02:37:32
338,91302008,0,0,0,2021-09-07T02:37:32
339,161712005.0,0,0,0,2021-09-07T02:37:32
340,43116000.0,0,0,0,2021-09-07T02:37:32
341,44054006.0,0,0,0,2021-09-07T02:37:32
342,46635009.0,0,0,0,2021-09-07T02:37:32
343,49049000.0,0,0,0,2021-09-07T02:37:32
344,49601007.0,0,0,0,2021-09-07T02:37:32
345,50829006.0,0,0,0,2021-09-07T02:37:32
346,52448006.0,0,0,0,2021-09-07T02:37:32
347,52702003.0,0,0,0,2021-09-07T02:37:32
348,53741008.0,0,0,0,2021-09-07T02:37:32
349,54150009.0,0,0,0,2021-09-07T02:37:32
350,56317004.0,0,0,0,2021-09-07T02:37:32
351,56925008.0,0,0,0,2021-09-07T02:37:32
352,57182000.0,0,0,0,2021-09-07T02:37:32
353,57406009.0,0,0,0,2021-09-07T02:37:32
354,59927004.0,0,0,0,2021-09-07T02:37:32
355,60862001.0,0,0,0,2021-09-07T02:37:32
356,61462000.0,0,0,0,2021-09-07T02:37:32
357,61599003.0,0,0,0,2021-09-07T02:37:32
358,62315008.0,0,0,0,2021-09-07T02:37:32
359,63102001.0,0,0,0,2021-09-07T02:37:32
360,67362008.0,0,0,0,2021-09-07T02:37:32
361,68566005.0,0,0,0,2021-09-07T02:37:32
362,69322001.0,0,0,0,2021-09-07T02:37:32
363,69896004.0,0,0,0,2021-09-07T02:37:32
364,73211009.0,0,0,0,2021-09-07T02:37:32
365,73442001.0,0,0,0,2021-09-07T02:37:32
366,74732009.0,0,0,0,2021-09-07T02:37:32
367,75694006.0,0,0,0,2021-09-07T02:37:32
368,76376003.0,0,0,0,2021-09-07T02:37:32
369,86044005.0,0,0,0,2021-09-07T02:37:32
370,709044004.0,0,0,0,2021-09-07T02:37:32
371,129103003.0,0,0,0,2021-09-07T02:37:32
372,195967001.0,0,0,0,2021-09-07T02:37:32
373,200936003.0,0,0,0,2021-09-07T02:37:32
374,233604007.0,0,0,0,2021-09-07T02:37:32
375,698247007.0,0,0,0,2021-09-07T02:37:32
376,hiv/aids,0,0,0,2021-09-07T02:38:34
377,covid-19,0,0,0,2021-09-07T02:38:34
378,takotsubo cardiomyopathy,0,0,0,2021-09-07T02:38:34
379,tuberculoses,0,0,0,2021-09-07T02:38:34
380,endocarditis,0,0,0,2021-09-07T02:38:34
381,syphilis,0,0,0,2021-09-07T02:38:34
382,test,0,0,0,2021-09-07T02:38:34
383,hypertension,0,0,0,2021-09-07T02:38:34
384,sarcoidoses,0,0,0,2021-09-07T02:38:34
385,hepatitis b,0,0,0,2021-09-07T02:38:34
386,ulcerative colitis,0,0,0,2021-09-07T02:38:34
387,crohn’s disease,0,0,0,2021-09-07T02:38:34
388,chagas disease,0,0,0,2021-09-07T02:38:34
389,3545003.0,0,0,0,2021-09-07T02:38:34
390,3716002.0,0,0,0,2021-09-07T02:38:34
391,3723001.0,0,0,0,2021-09-07T02:38:34
392,4308002.0,0,0,0,2021-09-07T02:38:34
393,6142004.0,0,0,0,2021-09-07T02:38:34
394,6471006.0,0,0,0,2021-09-07T02:38:34
395,7973008.0,0,0,0,2021-09-07T02:38:34
396,8357008.0,0,0,0,2021-09-07T02:38:34
397,menstruation,0,0,0,2021-09-07T02:38:34
398,9829001.0,0,0,0,2021-09-07T02:38:34
399,10743008.0,0,0,0,2021-09-07T02:38:34
400,11381005.0,0,0,0,2021-09-07T02:38:34
401,11654001.0,0,0,0,2021-09-07T02:38:34
402,13746004.0,0,0,0,2021-09-07T02:38:34
403,34486009.0,0,0,0,2021-09-07T02:38:34
404,40930008.0,0,0,0,2021-09-07T02:38:34
405,14669001.0,0,0,0,2021-09-07T02:38:34
406,15188001.0,0,0,0,2021-09-07T02:38:34
407,18193002.0,0,0,0,2021-09-07T02:38:34
408,18718003.0,0,0,0,2021-09-07T02:38:34
409,21134002.0,0,0,0,2021-09-07T02:38:34
410,396275006.0,0,0,0,2021-09-07T02:38:34
411,22298006.0,0,0,0,2021-09-07T02:38:34
412,23502006.0,0,0,0,2021-09-07T02:38:34
413,23919004.0,0,0,0,2021-09-07T02:38:34
414,24693007.0,0,0,0,2021-09-07T02:38:34
415,24700007.0,0,0,0,2021-09-07T02:38:34
416,25458004.0,0,0,0,2021-09-07T02:38:34
417,26889001.0,0,0,0,2021-09-07T02:38:34
418,26929004.0,0,0,0,2021-09-07T02:38:34
419,29384001.0,0,0,0,2021-09-07T02:38:34
420,30811009.0,0,0,0,2021-09-07T02:38:34
421,31384009.0,0,0,0,2021-09-07T02:38:34
422,32398004.0,0,0,0,2021-09-07T02:38:34
423,32798002.0,0,0,0,2021-09-07T02:38:34
424,32914008.0,0,0,0,2021-09-07T02:38:34
425,34840004.0,0,0,0,2021-09-07T02:38:34
426,35489007.0,0,0,0,2021-09-07T02:38:34
427,36971009.0,0,0,0,2021-09-07T02:38:34
428,37340000.0,0,0,0,2021-09-07T02:38:34
429,39400004.0,0,0,0,2021-09-07T02:38:34
430,39621005.0,0,0,0,2021-09-07T02:38:34
431,40733004.0,0,0,0,2021-09-07T02:38:34
432,91302008,0,0,0,2021-09-07T02:38:34
433,161712005.0,0,0,0,2021-09-07T02:38:34
434,43116000.0,0,0,0,2021-09-07T02:38:34
435,44054006.0,0,0,0,2021-09-07T02:38:34
436,46635009.0,0,0,0,2021-09-07T02:38:34
437,49049000.0,0,0,0,2021-09-07T02:38:34
438,49601007.0,0,0,0,2021-09-07T02:38:34
439,50829006.0,0,0,0,2021-09-07T02:38:34
440,52448006.0,0,0,0,2021-09-07T02:38:34
441,52702003.0,0,0,0,2021-09-07T02:38:34
442,53741008.0,0,0,0,2021-09-07T02:38:34
443,54150009.0,0,0,0,2021-09-07T02:38:34
444,56317004.0,0,0,0,2021-09-07T02:38:34
445,56925008.0,0,0,0,2021-09-07T02:38:34
446,57182000.0,0,0,0,2021-09-07T02:38:34
447,57406009.0,0,0,0,2021-09-07T02:38:34
448,59927004.0,0,0,0,2021-09-07T02:38:34
449,60862001.0,0,0,0,2021-09-07T02:38:34
450,61462000.0,0,0,0,2021-09-07T02:38:34
451,61599003.0,0,0,0,2021-09-07T02:38:34
452,62315008.0,0,0,0,2021-09-07T02:38:34
453,63102001.0,0,0,0,2021-09-07T02:38:34
454,67362008.0,0,0,0,2021-09-07T02:38:34
455,68566005.0,0,0,0,2021-09-07T02:38:34
456,69322001.0,0,0,0,2021-09-07T02:38:34
457,69896004.0,0,0,0,2021-09-07T02:38:34
458,73211009.0,0,0,0,2021-09-07T02:38:34
459,73442001.0,0,0,0,2021-09-07T02:38:34
460,74732009.0,0,0,0,2021-09-07T02:38:34
461,75694006.0,0,0,0,2021-09-07T02:38:34
462,76376003.0,0,0,0,2021-09-07T02:38:34
463,86044005.0,0,0,0,2021-09-07T02:38:34
464,709044004.0,0,0,0,2021-09-07T02:38:34
465,129103003.0,0,0,0,2021-09-07T02:38:34
466,195967001.0,0,0,0,2021-09-07T02:38:34
467,200936003.0,0,0,0,2021-09-07T02:38:34
468,233604007.0,0,0,0,2021-09-07T02:38:34
469,698247007.0,0,0,0,2021-09-07T02:38:34
470,hiv/aids,0,0,0,2022-03-15T01:24:28
471,covid-19,0,0,0,2022-03-15T01:24:28
472,takotsubo cardiomyopathy,0,0,0,2022-03-15T01:24:28
473,tuberculoses,0,0,0,2022-03-15T01:24:28
474,endocarditis,0,0,0,2022-03-15T01:24:28
475,syphilis,0,0,0,2022-03-15T01:24:28
476,test,0,0,0,2022-03-15T01:24:28
477,hypertension,0,0,0,2022-03-15T01:24:28
478,sarcoidoses,0,0,0,2022-03-15T01:24:28
479,hepatitis b,0,0,0,2022-03-15T01:24:28
480,ulcerative colitis,0,0,0,2022-03-15T01:24:28
481,crohn’s disease,0,0,0,2022-03-15T01:24:28
482,chagas disease,0,0,0,2022-03-15T01:24:28
483,3545003.0,0,0,0,2022-03-15T01:24:28
484,3716002.0,0,0,0,2022-03-15T01:24:28
485,3723001.0,0,0,0,2022-03-15T01:24:28
486,4308002.0,0,0,0,2022-03-15T01:24:28
487,6142004.0,0,0,0,2022-03-15T01:24:28
488,6471006.0,0,0,0,2022-03-15T01:24:28
489,7973008.0,0,0,0,2022-03-15T01:24:28
490,8357008.0,0,0,0,2022-03-15T01:24:28
491,menstruation,0,0,0,2022-03-15T01:24:28
492,9829001.0,0,0,0,2022-03-15T01:24:28
493,10743008.0,0,0,0,2022-03-15T01:24:28
494,11381005.0,0,0,0,2022-03-15T01:24:28
495,11654001.0,0,0,0,2022-03-15T01:24:28
496,13746004.0,0,0,0,2022-03-15T01:24:28
497,34486009.0,0,0,0,2022-03-15T01:24:28
498,40930008.0,0,0,0,2022-03-15T01:24:28
499,14669001.0,0,0,0,2022-03-15T01:24:28
500,15188001.0,0,0,0,2022-03-15T01:24:28
501,18193002.0,0,0,0,2022-03-15T01:24:28
502,18718003.0,0,0,0,2022-03-15T01:24:28
503,21134002.0,4,1,0,2022-03-15T01:24:28
504,396275006.0,0,0,0,2022-03-15T01:24:28
505,22298006.0,0,0,0,2022-03-15T01:24:28
506,23502006.0,0,0,0,2022-03-15T01:24:28
507,23919004.0,0,0,0,2022-03-15T01:24:28
508,24693007.0,0,0,0,2022-03-15T01:24:28
509,24700007.0,0,0,0,2022-03-15T01:24:28
510,25458004.0,0,0,0,2022-03-15T01:24:28
511,26889001.0,0,0,0,2022-03-15T01:24:28
512,26929004.0,0,0,0,2022-03-15T01:24:28
513,29384001.0,0,0,0,2022-03-15T01:24:28
514,30811009.0,0,0,0,2022-03-15T01:24:28
515,31384009.0,0,0,0,2022-03-15T01:24:28
516,32398004.0,0,0,0,2022-03-15T01:24:28
517,32798002.0,0,0,0,2022-03-15T01:24:28
518,32914008.0,0,0,0,2022-03-15T01:24:28
519,34840004.0,0,0,0,2022-03-15T01:24:28
520,35489007.0,0,0,0,2022-03-15T01:24:28
521,36971009.0,0,0,0,2022-03-15T01:24:28
522,37340000.0,0,0,0,2022-03-15T01:24:28
523,39400004.0,0,0,0,2022-03-15T01:24:28
524,39621005.0,0,0,0,2022-03-15T01:24:28
525,40733004.0,0,0,0,2022-03-15T01:24:28
526,91302008,0,0,0,2022-03-15T01:24:28
527,161712005.0,0,0,0,2022-03-15T01:24:28
528,43116000.0,0,0,0,2022-03-15T01:24:28
529,44054006.0,0,0,0,2022-03-15T01:24:28
530,46635009.0,0,0,0,2022-03-15T01:24:28
531,49049000.0,0,0,0,2022-03-15T01:24:28
532,49601007.0,0,0,0,2022-03-15T01:24:28
533,50829006.0,0,0,0,2022-03-15T01:24:28
534,52448006.0,0,0,0,2022-03-15T01:24:28
535,52702003.0,0,0,0,2022-03-15T01:24:28
536,53741008.0,0,0,0,2022-03-15T01:24:28
537,54150009.0,0,0,0,2022-03-15T01:24:28
538,56317004.0,0,0,0,2022-03-15T01:24:28
539,56925008.0,0,0,0,2022-03-15T01:24:28
540,57182000.0,0,0,0,2022-03-15T01:24:28
541,57406009.0,0,0,0,2022-03-15T01:24:28
542,59927004.0,0,0,0,2022-03-15T01:24:28
543,60862001.0,0,0,0,2022-03-15T01:24:28
544,61462000.0,0,0,0,2022-03-15T01:24:28
545,61599003.0,0,0,0,2022-03-15T01:24:28
546,62315008.0,0,0,0,2022-03-15T01:24:28
547,63102001.0,0,0,0,2022-03-15T01:24:28
548,67362008.0,0,0,0,2022-03-15T01:24:28
549,68566005.0,0,0,0,2022-03-15T01:24:28
550,69322001.0,0,0,0,2022-03-15T01:24:28
551,69896004.0,0,0,0,2022-03-15T01:24:28
552,73211009.0,0,0,0,2022-03-15T01:24:28
553,73442001.0,0,0,0,2022-03-15T01:24:28
554,74732009.0,0,0,0,2022-03-15T01:24:28
555,75694006.0,0,0,0,2022-03-15T01:24:28
556,76376003.0,0,0,0,2022-03-15T01:24:28
557,86044005.0,0,0,0,2022-03-15T01:24:28
558,709044004.0,0,0,0,2022-03-15T01:24:28
559,129103003.0,0,0,0,2022-03-15T01:24:28
560,195967001.0,0,0,0,2022-03-15T01:24:28
561,200936003.0,0,0,0,2022-03-15T01:24:28
562,233604007.0,0,0,0,2022-03-15T01:24:28
563,698247007.0,0,0,0,2022-03-15T01:24:28
