English,Chinese,French,Spanish
human immunodeficiency virus,人类免疫缺陷病毒,virus de l'immunodéficience humaine,virus de inmunodeficiencia humana
2019 novel coronavirus,2019新型冠状病毒,coronavirus novel 2019,coronavirus novel de 2019
takotsubo cardiomyopathy,章鱼罐心肌病,cardiomyopathie de Takotsubo,cardiomiopatía de Takotsubo
tuberculoses,结核,tuberculose,tuberculosis
endocarditis,心内膜炎,endocardite,endocarditis
syphilis,梅毒,syphilis,sífilis
hypertension,高血压,hypertension,hipertensión
sarcoid,结节病,sarcoïdose,sarcoidosis
hepatitis b,乙型肝炎,hépatite B,hepatitis B
ulcerative colitis,溃疡性结肠炎,colite ulcéreuse,colitis ulcerosa
crohn disease,克罗恩病,maladie de Crohn,enfermedad de Crohn
chagas disease,查加斯病,maladie de Chagas,enfermedad de Chagas
diastolic dysfunction,舒张功能障碍,dysfonction diastolique,disfunción diastólica
goiter,甲状腺肿,goitre,bocio
arthritis,关节炎,arthrite,artritis
repetitive stress syndrome,重复劳损综合征,syndrome de stress répétitif,síndrome de estrés repetitivo
flu,流感,grippe,gripe
suicide,自杀,suicide,suicidio
visual anomalies,视觉异常,anomalies visuelles,anomalías visuales
loss of sex drive,性欲丧失,perte de libido,pérdida del deseo sexual
spotting problems,发现问题,problèmes de spotting,problemas de detección
perforated ulcer,穿孔性溃疡,ulcère perforé,úlcera perforada
ibs,肠易激综合症,syndrome du côlon irritable,síndrome del intestino irritable
acne,痤疮,acné,acné
achilles tendinitis,跟腱炎,tendinite d'Achille,tendinitis del Aquiles
bipolar disorder,躁郁症,trouble bipolaire,trastorno bipolar
hyperthyroid,甲状腺功能亢进,hyperthyroïdie,hipertiroidismo
hypothyroid,甲状腺功能减退,hypothyroïdie,hipotiroidismo
acute kidney failure,急性肾衰竭,insuffisance rénale aiguë,insuficiencia renal aguda
deafness,耳聋,surdité,sordera
hypochondria,疑病症,hypochondrie,hipocondría
gingival disease,牙龈疾病,maladie gingivale,enfermedad gingival
disability,残疾,handicap,discapacidad
osteoarthritis,骨关节炎,ostéoarthrite,osteoartritis
mi,心肌梗塞,infarctus du myocarde,infarto de miocardio
lyme disease,莱姆病,maladie de Lyme,enfermedad de Lyme
labyrinthitis,迷路炎,labyrinthite,laberintitis
fibromyalgia,纤维肌痛,fibromyalgie,fibromialgia
multiple sclerosis,多发性硬化,sclérose en plaques,esclerosis múltiple
acute gastritis,急性胃炎,gastrite aiguë,gastritis aguda
muscle inflammation,肌肉炎,inflammation musculaire,inflamación muscular
alzheimer's,阿尔茨海默病,maladie d'Alzheimer,enfermedad de Alzheimer
gastric problems,胃部问题,problèmes gastriques,problemas gástricos
oesophageal ulcer,食管溃疡,ulcère oesophagien,úlcera esofágica
polymyositis,多发性肌炎,polymyosite,polimiositis
bronchitis,支气管炎,bronchite,bronquitis
parkinson's disease,帕金森病,maladie de Parkinson,enfermedad de Parkinson
restless legs syndrome,不宁腿综合症,syndrome des jambes sans repos,síndrome de piernas inquietas
inflammatory disorder of tendon,肌腱炎症性疾病,trouble inflammatoire des tendons,trastorno inflamatorio del tendón
mood disorder of depressed type,抑郁症,trouble de l'humeur de type dépressif,trastorno del ánimo de tipo depresivo
sinus infection,鼻窦感染,infection des sinus,infección sinusal
mnd,运动神经元疾病,maladie du motoneurone,enfermedad de la neurona motora
permanent nerve damage,永久性神经损伤,dommages nerveux permanents,daño nervioso permanente
gall bladder disease,胆囊疾病,maladie de la vésicule biliaire,enfermedad de la vesícula biliar
infection,感染,infection,infección
sepsis,败血症,sepsis,sepsis
menopause,更年期,ménopause,menopausia
eczema,湿疹,eczéma,eczema
type two diabetic,2型糖尿病,diabète de type deux,diabético tipo dos
type one diabetic,1型糖尿病,diabète de type un,diabético tipo uno
parkinson,帕金森氏症,Parkinson,Parkinson
cardiovascular disease,心血管疾病,maladie cardiovasculaire,enfermedad cardiovascular
learning problems,学习障碍,problèmes d'apprentissage,problemas de aprendizaje
dementia,痴呆,démence,demencia
chronic fatigue syndrome,慢性疲劳综合症,syndrome de fatigue chronique,síndrome de fatiga crónica
coronary artery disease,冠状动脉疾病,maladie coronarienne,enfermedad de la arteria coronaria
upper respiratory infection,上呼吸道感染,infection des voies respiratoires supérieures,infección del tracto respiratorio superior
alopecia,脱发,alopécie,alopecia
sexual dysfunction,性功能障碍,dysfonction sexuelle,disfunción sexual
nerve damage,神经损伤,dommages aux nerfs,daño nervioso
carpal tunnel syndrome,腕管综合征,syndrome du canal carpien,síndrome del túnel carpiano
liver failure,肝衰竭,insuffisance hépatique,insuficiencia hepática
tinnitus,耳鸣,acouphènes,tinnitus
malaria,疟疾,paludisme,malaria
phlebitis,静脉炎,phlébite,flebitis
diarrhoea,腹泻,diarrhée,diarrea
vision problems,视力问题,problèmes de vision,problemas de visión
aortic aneurysem,主动脉瘤,anévrisme aortique,aneurisma aórtico
urinary tract infection,尿路感染,infection urinaire,infección del tracto urinario
psychosis,精神病,psychose,psicosis
rheumatoid arthritis,风湿性关节炎,arthrite rhumatoïde,artritis reumatoide
diabetes,糖尿病,diabète,diabetes
stevens johnson syndrome,史蒂文斯-约翰逊综合症,syndrome de Stevens-Johnson,síndrome de Stevens-Johnson
mental illness,精神疾病,maladie mentale,enfermedad mental
pancreatitis,胰腺炎,pancréatite,pancreatitis
adenomyosis,腺肌症,adénomyose,adenomiosis
als,肌萎缩侧索硬化症,SLA,ELA (esclerosis lateral amiotrófica)
chronic kidney disease,慢性肾脏病,maladie rénale chronique,enfermedad renal crónica
endometriosis,子宫内膜异位症,endométriose,endometriosis
asthma,哮喘,asthme,asma
lupus,红斑狼疮,lupus,lupus
pneumonia,肺炎,pneumonie,neumonía
arrhythmia,心律失常,arythmie,arritmia
