,Disease,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
0,hiv/aids,3135116,2721279,716870,425718,486738,33654
1,covid-19,1597111,1266210,374620,282258,217275,22512
2,takotsubo cardiomyopathy,104531,70313,32661,12539,3193,968
3,tuberculoses,7752502,6121352,1053996,703131,982728,77113
4,endocarditis,1223757,776544,223377,102337,46556,8338
5,syphilis,4364401,3614796,676678,312114,500226,49974
6,hypertension,13180242,10540398,2323083,1904779,1154023,154127
7,sarcoidoses,281489,200267,21413,25408,8011,1206
8,hepatitis b,1453100,1193712,263618,325098,168518,24850
9,ulcerative colitis,1256345,839491,107637,134401,52283,5848
10,crohnâ€™s disease,765690,463083,42252,69245,19276,2333
11,chagas disease,206618,169900,105038,18540,29637,2630
12,3545003.0,156813,98920,22580,18744,3809,405
13,3716002.0,538320,353751,55680,41296,26830,3779
14,3723001.0,8766116,6547851,1041779,822484,725550,68567
15,4308002.0,1026,852,131,154,507,1
16,6142004.0,5491519,4683376,649347,436696,410116,53291
17,6471006.0,36490298,29626578,5740739,2850276,4624199,301368
18,7973008.0,9996,5376,859,436,427,20
19,8357008.0,71871,62821,17041,8096,7502,793
20,menstruation,2293431,1559160,429543,190679,307752,16591
21,9829001.0,17652,11057,1961,592,614,133
22,10743008.0,2300798,1477832,245627,345559,167741,18171
23,11381005.0,5920118,4663728,365877,546602,212885,29704
24,11654001.0,18477,10758,1913,956,929,140
25,13746004.0,1900772,1328127,362109,229473,305164,16416
26,34486009.0,447336,288053,57480,41055,16066,2592
27,40930008.0,242494,156431,25761,21789,11212,2119
28,14669001.0,47627,20661,2884,2206,1432,327
29,15188001.0,2484100,1729584,289786,151718,228494,14403
30,18193002.0,323079,258020,67392,11675,19247,1732
31,18718003.0,705165,467554,62313,50077,50617,4098
32,21134002.0,16042915,10766598,3502654,2092980,3150984,191522
33,396275006.0,1369201,913203,161078,136842,118124,11152
34,22298006.0,13863520,8036026,1206838,831935,692277,122776
35,23502006.0,838135,534671,93787,61857,67476,8894
36,23919004.0,58115,35485,11181,4682,4031,729
37,24693007.0,706791,494614,120866,81109,81145,8264
38,24700007.0,2890138,1611825,306630,196853,176145,34425
39,25458004.0,35911,18714,3984,2590,4779,543
40,26889001.0,17883,12169,1685,1332,645,110
41,26929004.0,5619095,3680836,833385,601454,743860,48131
42,29384001.0,1394941,944254,154281,167465,110588,10278
43,30811009.0,11696,7742,753,790,236,13
44,31384009.0,255752,182008,23400,21761,8065,1167
45,32398004.0,2327206,1687139,253068,122180,190943,14954
46,32798002.0,2783971,1553968,391622,279826,357199,20717
47,32914008.0,282569,197067,48362,38274,44626,2941
48,34840004.0,261327,211321,31663,17965,14542,2876
49,35489007.0,74590212,54119905,11107392,6926370,8586451,630200
50,36971009.0,91680,70302,8762,4616,3584,728
51,37340000.0,95158,68380,11349,6726,7934,760
52,39400004.0,335793,285626,49045,53265,18453,2509
53,39621005.0,1226544,761331,140733,100955,93541,9573
54,40733004.0,43408912,34216041,5168696,4121893,3078422,350185
55,91302008,3025230,1959543,371027,276475,173911,24850
56,161712005.0,3506230,2798513,620391,475253,410371,33214
57,43116000.0,3957183,2817444,271258,345921,175365,18426
58,44054006.0,3389919,2529626,620870,940784,365709,69544
59,46635009.0,88309,63283,13911,14023,10705,816
60,49049000.0,5443092,3145784,788006,405971,560669,50106
61,49601007.0,16205249,11189684,2529969,2399063,2088279,175320
62,50829006.0,178559,117892,49955,28873,39558,3127
63,52448006.0,14515295,8849304,2412271,1592058,1977173,113587
64,52702003.0,400290,275447,53675,42882,50131,3760
65,53741008.0,1541470,969671,229554,189520,112568,11713
66,54150009.0,290818,303547,44118,35316,27798,2197
67,56317004.0,2393886,2138788,130938,223785,62791,9016
68,56925008.0,1305932,960014,230786,186414,164058,15256
69,57182000.0,886313,766481,94876,92946,47011,7148
70,57406009.0,263418,190331,31028,21506,18910,2340
71,59927004.0,3813983,2679216,539816,543843,280418,32727
72,60862001.0,1545780,1029532,186187,81114,55112,5279
73,61462000.0,7744791,7831635,1027489,801712,1156608,126697
74,61599003.0,289385,258416,27176,23194,14519,1338
75,62315008.0,11170642,9097135,1277917,941337,831438,76270
76,63102001.0,149468,103493,14722,9621,7778,1400
77,67362008.0,0,1,0,0,0,0
78,68566005.0,515225,349121,63738,44480,28418,3841
79,69322001.0,3458244,2512356,577689,357365,487586,25265
80,69896004.0,2879413,2142241,333716,296384,251709,19595
81,73211009.0,24527596,18172978,5253931,5339876,3149129,486054
82,73442001.0,7351,5605,599,969,212,37
83,74732009.0,27090041,18122963,6659733,4766913,6830021,329995
84,75694006.0,1981065,1372719,250633,236626,100609,14276
85,76376003.0,59191,31400,3989,3526,1751,422
86,86044005.0,504803,308704,49295,28173,27122,2674
87,709044004.0,1058928,777242,177354,149720,72914,13661
88,129103003.0,751979,526413,95327,78468,49002,4762
89,195967001.0,9161604,6737178,1586816,1007357,834980,92000
90,200936003.0,7618223,6877674,2440760,531123,194926,29415
91,233604007.0,7684996,5297780,825292,487719,490118,63647
92,698247007.0,2702384,1735588,395654,259112,143534,14192
